time,event,Freq
2017-04-05 04:44:23,ldap,61
2017-04-05 04:44:26,ldap,61
2017-04-05 04:44:28,ldap,61
2017-04-05 04:44:31,ldap,61
2017-04-05 04:44:34,ldap,61
2017-04-05 04:44:36,ldap,61
2017-04-05 04:44:39,ldap,61
2017-04-05 04:44:41,ldap,13
2017-04-05 04:44:53,ldap,61
2017-04-05 04:44:55,ldap,60
2017-04-05 04:44:56,ldap,1
2017-04-05 04:44:57,ldap,61
2017-04-05 04:45:00,ldap,61
2017-04-05 04:45:03,ldap,61
2017-04-05 04:45:05,ldap,61
2017-04-05 04:45:08,ldap,61
2017-04-05 04:45:11,ldap,61
2017-04-05 04:45:13,ldap,61
2017-04-05 04:45:15,ldap,61
2017-04-05 04:45:18,ldap,122
2017-04-05 04:45:21,ldap,61
2017-04-05 04:45:24,ldap,61
2017-04-05 04:45:25,ldap,61
2017-04-05 04:45:31,ldap,61
2017-04-05 04:45:33,ldap,10
2017-04-05 04:45:34,ldap,51
2017-04-05 04:45:38,ldap,61
2017-04-05 04:46:02,ldap,61
2017-04-05 04:46:03,ldap,61
2017-04-05 04:46:04,ldap,61
2017-04-05 04:46:13,ldap,61
2017-04-05 04:46:15,ldap,122
2017-04-05 04:46:18,ldap,61
2017-04-05 04:46:19,ldap,61
2017-04-05 04:46:22,ldap,61
2017-04-05 04:46:32,ldap,61
2017-04-05 04:46:34,ldap,61
2017-04-05 04:46:35,ldap,61
2017-04-05 04:46:39,ldap,61
2017-04-05 04:46:40,ldap,61
2017-04-05 04:46:42,ldap,61
2017-04-05 04:46:52,ldap,61
2017-04-05 04:46:54,ldap,61
2017-04-05 04:46:55,ldap,61
2017-04-05 04:46:58,ldap,61
2017-04-05 04:46:59,ldap,61
2017-04-05 04:47:01,ldap,61
2017-04-05 04:47:13,ldap,61
2017-04-05 04:47:20,ldap,61
2017-04-05 04:47:22,ldap,61
2017-04-05 04:47:23,ldap,61
2017-04-05 04:47:30,ldap,61
2017-04-05 04:47:33,ldap,61
2017-04-05 04:47:36,ldap,61
2017-04-05 04:47:55,ldap,61
2017-04-05 04:48:01,ldap,357
2017-04-05 04:48:08,ldap,61
2017-04-05 04:48:11,httpdacc,1
2017-04-05 04:48:19,ldap,61
2017-04-05 04:48:31,ldap,61
2017-04-05 04:48:42,ldap,73
2017-04-05 04:48:43,ldap,307
2017-04-05 04:48:46,ldap,330
2017-04-05 04:48:48,ldap,61
2017-04-05 04:49:00,ldap,61
2017-04-05 04:49:11,ldap,61
2017-04-05 04:49:22,ldap,48
2017-04-05 04:49:23,ldap,13
2017-04-05 04:49:25,ldap,61
2017-04-05 04:49:27,ldap,61
2017-04-05 04:49:30,ldap,61
2017-04-05 04:49:31,ldap,61
2017-04-05 04:49:33,ldap,61
2017-04-05 04:49:47,ldap,61
2017-04-05 04:49:49,ldap,61
2017-04-05 04:49:53,ldap,61
2017-04-05 04:50:01,ldap,61
2017-04-05 04:50:04,ldap,61
2017-04-05 04:50:07,ldap,61
2017-04-05 04:50:09,ldap,61
2017-04-05 04:50:11,ldap,61
2017-04-05 04:50:14,ldap,61
2017-04-05 04:50:19,ldap,61
2017-04-05 04:50:32,ldap,61
2017-04-05 04:50:33,Fire,1
2017-04-05 04:50:34,ldap,61
2017-04-05 04:50:37,ldap,61
2017-04-05 04:50:39,ldap,61
2017-04-05 04:50:42,ldap,61
2017-04-05 04:50:44,ldap,61
2017-04-05 04:50:48,ldap,61
2017-04-05 04:50:57,ldap,61
2017-04-05 04:51:01,ldap,61
2017-04-05 04:51:02,ldap,50
2017-04-05 04:51:03,ldap,11
2017-04-05 04:51:06,ldap,61
2017-04-05 04:51:12,httpdacc,1
2017-04-05 04:51:20,ldap,183
2017-04-05 04:51:30,ldap,61
2017-04-05 04:51:33,ldap,61
2017-04-05 04:51:36,ldap,61
2017-04-05 04:51:37,ldap,61
2017-04-05 04:51:40,ldap,61
2017-04-05 04:51:43,ldap,61
2017-04-05 04:51:47,ldap,61
2017-04-05 04:51:55,ldap,61
2017-04-05 04:51:58,ldap,61
2017-04-05 04:52:00,ldap,61
2017-04-05 04:52:02,ldap,61
2017-04-05 04:52:05,ldap,61
2017-04-05 04:52:08,ldap,61
2017-04-05 04:52:12,ldap,61
